s n m tiempo
1 6 22 195.30000000
1 6 23 126.80000000
1 6 24 154.70000000
1 6 25 129.30000000
1 6 26 126.80000000
1 6 27 122.90000000
1 6 28 136.00000000
1 6 29 152.10000000
1 6 30 145.10000000
1 6 31 135.60000000
1 6 32 139.10000000
1 6 33 154.70000000
1 6 34 208.30000000
1 6 35 136.00000000
1 6 36 166.10000000
1 6 37 131.70000000
1 6 38 157.40000000
1 6 39 138.10000000
1 6 40 152.10000000
1 6 41 132.70000000
1 6 42 139.40000000
1 6 43 134.30000000
1 6 44 137.60000000
1 6 45 144.90000000
1 6 46 135.80000000
1 6 47 157.00000000
1 6 48 273.00000000
1 6 49 139.90000000
1 6 50 133.80000000
1 6 51 166.10000000
1 6 52 129.80000000
1 6 53 168.00000000
1 6 54 135.40000000
1 6 55 138.80000000
1 6 56 193.50000000
1 6 57 171.30000000
1 6 58 183.10000000
1 6 59 163.60000000
1 6 60 161.60000000
1 6 61 146.80000000
1 6 62 170.20000000
1 6 63 140.10000000
1 6 64 201.20000000
1 6 65 160.70000000
1 6 66 156.30000000
1 6 67 135.50000000
1 6 68 174.70000000
1 6 69 167.50000000
1 6 70 144.60000000
1 6 71 168.50000000
1 6 72 180.10000000
1 6 73 169.50000000
1 6 74 159.40000000
1 6 75 147.30000000
1 6 76 178.20000000
1 6 77 166.40000000
1 6 78 154.00000000
1 6 79 154.40000000
1 6 80 168.20000000
1 6 81 185.40000000
1 6 82 206.40000000
1 6 83 202.90000000
1 6 84 216.80000000
1 6 85 157.80000000
1 6 86 165.10000000
1 6 87 190.00000000
1 6 88 210.30000000
1 6 89 183.30000000
1 6 90 234.70000000
1 6 91 171.80000000
1 6 92 210.90000000
1 6 93 181.20000000
1 6 94 221.10000000
1 6 95 167.50000000
1 6 96 190.60000000
1 6 97 183.30000000
1 6 98 171.00000000
1 6 99 189.30000000
1 6 100 178.90000000
1 7 1 131.00000000
1 7 2 132.90000000
1 7 3 133.40000000
1 7 4 137.90000000
1 7 5 174.90000000
1 7 6 123.20000000
1 7 7 130.00000000
1 7 8 243.50000000
1 7 9 127.30000000
1 7 10 138.50000000
1 7 11 132.70000000
1 7 12 142.40000000
1 7 13 147.00000000
1 7 14 127.30000000
1 7 15 127.90000000
1 7 16 170.90000000
1 7 17 142.30000000
1 7 18 136.50000000
1 7 19 191.50000000
1 7 20 118.60000000
1 7 21 126.10000000
1 7 22 123.20000000
1 7 23 126.00000000
1 7 24 127.70000000
1 7 25 130.40000000
1 7 26 147.60000000
1 7 27 131.20000000
1 7 28 130.40000000
1 7 29 163.40000000
1 7 30 147.80000000
1 7 31 129.70000000
1 7 32 176.00000000
1 7 33 186.00000000
1 7 34 153.40000000
1 7 35 142.70000000
1 7 36 184.30000000
1 7 37 161.50000000
1 7 38 141.70000000
1 7 39 146.60000000
1 7 40 170.80000000
1 7 41 162.50000000
1 7 42 166.10000000
1 7 43 142.50000000
1 7 44 169.60000000
1 7 45 167.30000000
1 7 46 167.30000000
1 7 47 155.40000000
1 7 48 183.70000000
1 7 49 171.00000000
1 7 50 133.30000000
1 7 51 131.30000000
1 7 52 152.30000000
1 7 53 168.40000000
1 7 54 147.10000000
1 7 55 135.20000000
1 7 56 163.40000000
1 7 57 130.80000000
1 7 58 135.60000000
1 7 59 127.30000000
1 7 60 126.90000000
1 7 61 138.60000000
1 7 62 133.80000000
1 7 63 157.70000000
1 7 64 132.90000000
1 7 65 144.10000000
1 7 66 143.40000000
1 7 67 150.60000000
1 7 68 171.30000000
