s n m tiempo
5551 100 100 517.80000000
5601 100 100 462.40000000
5651 100 100 379.40000000
5701 100 100 295.30000000
5751 100 100 348.50000000
5801 100 100 371.30000000
5851 100 100 379.40000000
5901 100 100 519.00000000
5951 100 100 433.00000000
6001 100 100 468.80000000
6051 100 100 432.60000000
6101 100 100 705.40000000
6151 100 100 563.90000000
6201 100 100 501.00000000
6251 100 100 413.70000000
6301 100 100 516.80000000
6351 100 100 440.00000000
6401 100 100 594.40000000
6451 100 100 639.30000000
6501 100 100 535.20000000
6551 100 100 579.30000000
6601 100 100 617.10000000
6651 100 100 582.20000000
6701 100 100 631.10000000
6751 100 100 572.60000000
6801 100 100 523.30000000
6851 100 100 585.90000000
6901 100 100 662.70000000
6951 100 100 549.00000000
7001 100 100 488.90000000
7051 100 100 497.50000000
7101 100 100 444.30000000
7151 100 100 479.60000000
7201 100 100 601.90000000
7251 100 100 531.20000000
7301 100 100 540.60000000
7351 100 100 472.10000000
7401 100 100 429.60000000
7451 100 100 527.40000000
7501 100 100 487.70000000
7551 100 100 560.90000000
7601 100 100 545.60000000
7651 100 100 463.30000000
7701 100 100 738.60000000
7751 100 100 441.80000000
7801 100 100 442.30000000
7851 100 100 417.80000000
7901 100 100 457.40000000
7951 100 100 418.20000000
8001 100 100 517.20000000
8051 100 100 396.70000000
8101 100 100 464.60000000
8151 100 100 464.60000000
8201 100 100 431.00000000
8251 100 100 447.20000000
8301 100 100 325.00000000
8351 100 100 478.90000000
8401 100 100 400.50000000
8451 100 100 472.30000000
8501 100 100 1083.50000000
8551 100 100 350.90000000
8601 100 100 362.10000000
8651 100 100 520.80000000
8701 100 100 391.20000000
8751 100 100 472.90000000
8801 100 100 411.70000000
8851 100 100 553.20000000
8901 100 100 461.90000000
8951 100 100 586.50000000
9001 100 100 434.90000000
9051 100 100 492.70000000
9101 100 100 492.20000000
9151 100 100 530.90000000
9201 100 100 468.10000000
9251 100 100 465.80000000
9301 100 100 536.10000000
9351 100 100 587.60000000
9401 100 100 697.50000000
9451 100 100 662.90000000
9501 100 100 626.70000000
9551 100 100 722.80000000
9601 100 100 631.20000000
9651 100 100 467.40000000
9701 100 100 624.50000000
9751 100 100 444.20000000
9801 100 100 562.00000000
9851 100 100 521.10000000
9901 100 100 563.00000000
9951 100 100 431.00000000
10001 100 100 568.70000000
10051 100 100 539.50000000
10101 100 100 413.80000000
10151 100 100 533.90000000
10201 100 100 473.80000000
10251 100 100 500.90000000
10301 100 100 541.50000000
10351 100 100 640.70000000
10401 100 100 451.50000000
10451 100 100 559.30000000
10501 100 100 508.20000000
10551 100 100 511.10000000
10601 100 100 462.20000000
10651 100 100 556.10000000
10701 100 100 497.00000000
10751 100 100 527.30000000
10801 100 100 481.70000000
10851 100 100 417.30000000
10901 100 100 567.20000000
10951 100 100 379.20000000
11001 100 100 437.10000000
11051 100 100 442.50000000
11101 100 100 411.20000000
11151 100 100 397.30000000
11201 100 100 554.50000000
11251 100 100 491.90000000
11301 100 100 450.00000000
11351 100 100 531.00000000
11401 100 100 417.40000000
11451 100 100 475.10000000
11501 100 100 525.30000000
11551 100 100 459.90000000
11601 100 100 463.60000000
11651 100 100 438.10000000
11701 100 100 503.70000000
11751 100 100 524.50000000
11801 100 100 439.40000000
11851 100 100 513.90000000
11901 100 100 793.70000000
11951 100 100 606.40000000
12001 100 100 622.00000000
12051 100 100 833.50000000
12101 100 100 530.40000000
12151 100 100 477.60000000
12201 100 100 754.20000000
12251 100 100 667.20000000
