n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
86 19 75 37024700.00000000 1425 122550 25982.24561404 302.11913505
86 16 58 25143000.00000000 928 79808 27093.75000000 315.04360465
86 30 32 26121800.00000000 960 82560 27210.20833333 316.39777132
86 13 34 17443100.00000000 442 38012 39464.02714932 458.88403662
86 36 84 68055000.00000000 3024 260064 22504.96031746 261.68558509
86 32 68 50932400.00000000 2176 187136 23406.43382353 272.16783516
86 57 45 59185000.00000000 2565 220590 23074.07407407 268.30318691
86 57 72 88352000.00000000 4104 352944 21528.26510721 250.32866404
86 59 50 65326500.00000000 2950 253700 22144.57627119 257.49507292
87 81 18 39197500.00000000 1458 126846 26884.43072702 309.01644514
87 1 81 7061600.00000000 81 7047 87180.24691358 1002.07180360
87 71 86 128193700.00000000 6106 531222 20994.71012119 241.31850714
87 52 36 44707100.00000000 1872 162864 23881.99786325 274.50572257
87 63 53 73189400.00000000 3339 290493 21919.55675352 251.94892820
87 44 68 69616500.00000000 2992 260304 23267.54679144 267.44306657
87 29 8 11569600.00000000 232 20184 49868.96551724 573.20650020
87 51 2 8820500.00000000 102 8874 86475.49019608 993.97115168
87 50 87 93936000.00000000 4350 378450 21594.48275862 248.21244550
87 78 56 94530500.00000000 4368 380016 21641.59798535 248.75399983
88 64 56 80598800.00000000 3584 315392 22488.50446429 255.55118709
88 53 73 86374400.00000000 3869 340472 22324.73507366 253.69017129
88 88 68 128616200.00000000 5984 526592 21493.34893048 244.24260148
88 3 67 10410700.00000000 201 17688 51794.52736318 588.57417458
88 10 59 19280800.00000000 590 51920 32679.32203390 371.35593220
88 1 42 6089900.00000000 42 3696 144997.61904762 1647.70021645
88 11 88 27904000.00000000 968 85184 28826.44628099 327.57325319
88 10 83 25617400.00000000 830 73040 30864.33734940 350.73110624
88 84 2 13521200.00000000 168 14784 80483.33333333 914.58333333
88 40 18 24400800.00000000 720 63360 33890.00000000 385.11363636
89 1 13 3831000.00000000 13 1157 294692.30769231 3311.14952463
89 85 73 135367600.00000000 6205 552245 21815.89041096 245.12236417
89 83 1 9699000.00000000 83 7387 116855.42168675 1312.98226614
89 80 78 133669500.00000000 6240 555360 21421.39423077 240.68982282
89 79 77 130895500.00000000 6083 541387 21518.24757521 241.77806264
89 40 62 57582700.00000000 2480 220720 23218.83064516 260.88573759
89 63 1 7880300.00000000 63 5607 125084.12698413 1405.43962904
89 40 24 27778200.00000000 960 85440 28935.62500000 325.11938202
89 24 74 44196400.00000000 1776 158064 24885.36036036 279.61079057
89 13 2 4998600.00000000 26 2314 192253.84615385 2160.15557476
90 18 65 33230800.00000000 1170 105300 28402.39316239 315.58214625
90 16 38 20152000.00000000 608 54720 33144.73684211 368.27485380
90 90 65 128816600.00000000 5850 526500 22019.93162393 244.66590693
90 43 70 69759800.00000000 3010 270900 23176.01328904 257.51125877
90 1 29 6110800.00000000 29 2610 210717.24137931 2341.30268199
90 56 75 94648600.00000000 4200 378000 22535.38095238 250.39312169
90 88 78 146942800.00000000 6864 617760 21407.75058275 237.86389536
90 20 81 41835400.00000000 1620 145800 25824.32098765 286.93689986
90 87 34 69763600.00000000 2958 266220 23584.71940500 262.05243783
90 10 34 15252600.00000000 340 30600 44860.58823529 498.45098039
91 11 57 20955800.00000000 627 57057 33422.32854864 367.27833570
91 6 60 16881900.00000000 360 32760 46894.16666667 515.32051282
91 50 82 93121000.00000000 4100 373100 22712.43902439 249.58724203
91 71 15 30680600.00000000 1065 96915 28808.07511737 316.57225404
91 6 69 16153700.00000000 414 37674 39018.59903382 428.77581356
91 42 43 45520800.00000000 1806 164346 25205.31561462 276.98149027
91 5 23 6730100.00000000 115 10465 58522.60869565 643.10559006
91 30 67 51052700.00000000 2010 182910 25399.35323383 279.11377180
91 57 9 18005300.00000000 513 46683 35098.05068226 385.69286464
91 67 2 13035900.00000000 134 12194 97282.83582090 1069.04215188
92 34 52 46022800.00000000 1768 162656 26030.99547511 282.94560299
92 31 12 16341200.00000000 372 34224 43927.95698925 477.47779336
92 10 28 11925800.00000000 280 25760 42592.14285714 462.95807453
92 20 68 36485600.00000000 1360 125120 26827.64705882 291.60485934
92 43 78 78596100.00000000 3354 308568 23433.54203936 254.71241347
92 24 60 39377700.00000000 1440 132480 27345.62500000 297.23505435
92 52 73 88730300.00000000 3796 349232 23374.68387777 254.07265085
92 15 77 34850400.00000000 1155 106260 30173.50649351 327.97289667
92 52 30 40694200.00000000 1560 143520 26086.02564103 283.54375697
92 41 91 87066500.00000000 3731 343252 23335.96890914 253.65183597
93 21 70 40630000.00000000 1470 136710 27639.45578231 297.19844927
93 9 4 6866800.00000000 36 3348 190744.44444444 2051.01553166
93 52 29 43859800.00000000 1508 140244 29084.74801061 312.73922592
93 37 46 44521600.00000000 1702 158286 26158.40188014 281.27313850
93 49 90 101528700.00000000 4410 410130 23022.38095238 247.55248336
93 89 45 95869200.00000000 4005 372465 23937.37827715 257.39116427
93 27 70 48308700.00000000 1890 175770 25560.15873016 274.84041645
93 85 86 161856000.00000000 7310 679830 22141.72366621 238.08305017
93 8 5 5176200.00000000 40 3720 129405.00000000 1391.45161290
93 40 68 65017800.00000000 2720 252960 23903.60294118 257.02798861
94 78 33 63234500.00000000 2574 241956 24566.62781663 261.34710443
94 31 34 29956400.00000000 1054 99076 28421.63187856 302.35778594
94 11 32 13505800.00000000 352 33088 38368.75000000 408.17819149
94 33 77 61855900.00000000 2541 238854 24343.13262495 258.96949601
94 43 37 43560700.00000000 1591 149554 27379.44688875 291.27071158
94 54 17 28771700.00000000 918 86292 31341.72113290 333.42256524
94 35 33 32405100.00000000 1155 108570 28056.36363636 298.47195358
94 88 91 179933700.00000000 8008 752752 22469.24325674 239.03450273
94 33 6 12865300.00000000 198 18612 64976.26262626 691.23683645
94 81 90 162493000.00000000 7290 685260 22289.84910837 237.12605434
95 72 48 85580100.00000000 3456 328320 24762.76041667 260.66063596
95 92 11 32134700.00000000 1012 96140 31753.65612648 334.24901186
95 4 62 11106000.00000000 248 23560 44782.25806452 471.39219015
95 55 19 33168900.00000000 1045 99275 31740.57416268 334.11130698
95 58 76 103545300.00000000 4408 418760 23490.31306715 247.26645334
95 87 77 153482900.00000000 6699 636405 22911.31512166 241.17173812
95 88 72 146165500.00000000 6336 601920 23069.04987374 242.83210393
95 78 30 60457800.00000000 2340 222300 25836.66666667 271.96491228
95 76 51 92284500.00000000 3876 368220 23809.21052632 250.62326870
95 43 83 86964300.00000000 3569 339055 24366.57326982 256.49024495
96 25 12 13316300.00000000 300 28800 44387.66666667 462.37152778
96 48 20 28513600.00000000 960 92160 29701.66666667 309.39236111
96 15 77 33346800.00000000 1155 110880 28871.68831169 300.74675325
96 78 22 47154100.00000000 1716 164736 27479.07925408 286.24040890
96 27 17 18840300.00000000 459 44064 41046.40522876 427.56672113
96 84 86 165798400.00000000 7224 693504 22951.05204873 239.07345884
96 60 46 67126700.00000000 2760 264960 24321.26811594 253.34654287
96 75 26 51714000.00000000 1950 187200 26520.00000000 276.25000000
96 63 2 9808700.00000000 126 12096 77846.82539683 810.90443122
96 13 55 22436700.00000000 715 68640 31380.00000000 326.87500000
97 25 89 58390100.00000000 2225 215825 26242.74157303 270.54372756
97 21 4 6870000.00000000 84 8148 81785.71428571 843.15169367
97 10 22 11365500.00000000 220 21340 51661.36363636 532.59137769
97 39 34 37232500.00000000 1326 128622 28078.80844646 289.47225203
97 66 94 144171000.00000000 6204 601788 23238.39458414 239.57107819
97 62 95 140140200.00000000 5890 571330 23792.90322581 245.28766212
97 62 24 43768500.00000000 1488 144336 29414.31451613 303.24035584
97 88 85 173402500.00000000 7480 725560 23182.15240642 238.99126192
97 41 2 7733700.00000000 82 7954 94313.41463415 972.30324365
97 68 56 93425100.00000000 3808 369376 24533.90231092 252.92682795
98 30 3 6966200.00000000 90 8820 77402.22222222 789.81859410
98 88 95 195447300.00000000 8360 819280 23378.86363636 238.55983302
98 60 67 96294800.00000000 4020 393960 23953.93034826 244.42786070
98 58 83 114816700.00000000 4814 471772 23850.58163689 243.37328201
98 7 75 18827100.00000000 525 51450 35861.14285714 365.93002915
98 56 73 100693800.00000000 4088 400624 24631.55577299 251.34240585
98 54 78 99618900.00000000 4212 412776 23651.21082621 241.33888598
98 55 36 54204100.00000000 1980 194040 27375.80808081 279.34498042
98 73 46 84974900.00000000 3358 329084 25305.21143538 258.21644322
98 82 1 10145600.00000000 82 8036 123726.82926829 1262.51866600
99 72 37 70072900.00000000 2664 263736 26303.64114114 265.69334486
99 12 73 29759500.00000000 876 86724 33972.03196347 343.15183801
99 31 7 11082100.00000000 217 21483 51069.58525346 515.85439650
99 49 81 97282600.00000000 3969 392931 24510.60720585 247.58189097
99 69 45 78407200.00000000 3105 307395 25251.91626409 255.06986125
99 79 87 163650100.00000000 6873 680427 23810.57762258 240.51088508
99 69 21 40036000.00000000 1449 143451 27630.08971705 279.09181532
99 98 59 138501600.00000000 5782 572418 23953.92597717 241.95884825
99 83 17 43269100.00000000 1411 139689 30665.55634302 309.75309437
99 60 89 128942200.00000000 5340 528660 24146.47940075 243.90383233
100 26 40 32398500.00000000 1040 104000 31152.40384615 311.52403846
100 12 17 11816700.00000000 204 20400 57925.00000000 579.25000000
100 69 37 67029800.00000000 2553 255300 26255.30748139 262.55307481
100 47 19 28339800.00000000 893 89300 31735.49832027 317.35498320
100 51 19 29314000.00000000 969 96900 30251.80598555 302.51805986
100 14 49 22309700.00000000 686 68600 32521.42857143 325.21428571
100 20 78 44039800.00000000 1560 156000 28230.64102564 282.30641026
100 84 49 102553700.00000000 4116 411600 24915.86491740 249.15864917
100 28 99 70483900.00000000 2772 277200 25427.09235209 254.27092352
100 2 66 9976800.00000000 132 13200 75581.81818182 755.81818182
