n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
15 3 12 2681700.00000000 36 540 74491.66666667 4966.11111111
15 3 1 2613300.00000000 3 45 871100.00000000 58073.33333333
15 14 3 2906200.00000000 42 630 69195.23809524 4613.01587302
15 7 5 2518300.00000000 35 525 71951.42857143 4796.76190476
15 4 2 3585500.00000000 8 120 448187.50000000 29879.16666667
16 6 12 3097600.00000000 72 1152 43022.22222222 2688.88888889
16 4 10 3037200.00000000 40 640 75930.00000000 4745.62500000
16 1 6 2574600.00000000 6 96 429100.00000000 26818.75000000
16 16 14 4145500.00000000 224 3584 18506.69642857 1156.66852679
16 13 6 3026700.00000000 78 1248 38803.84615385 2425.24038462
16 15 1 3357000.00000000 15 240 223800.00000000 13987.50000000
16 6 7 2879500.00000000 42 672 68559.52380952 4284.97023810
16 16 6 3053000.00000000 96 1536 31802.08333333 1987.63020833
16 1 6 3603700.00000000 6 96 600616.66666667 37538.54166667
16 14 2 2515400.00000000 28 448 89835.71428571 5614.73214286
17 12 5 2926800.00000000 60 1020 48780.00000000 2869.41176471
17 2 9 2687800.00000000 18 306 149322.22222222 8783.66013072
17 10 11 4156100.00000000 110 1870 37782.72727273 2222.51336898
17 2 1 2413000.00000000 2 34 1206500.00000000 70970.58823529
17 8 1 2930500.00000000 8 136 366312.50000000 21547.79411765
17 6 6 2687700.00000000 36 612 74658.33333333 4391.66666667
17 16 11 4527900.00000000 176 2992 25726.70454545 1513.33556150
17 6 1 2629100.00000000 6 102 438183.33333333 25775.49019608
17 2 8 2370800.00000000 16 272 148175.00000000 8716.17647059
17 13 13 4709400.00000000 169 2873 27866.27218935 1639.19248173
18 18 2 3276500.00000000 36 648 91013.88888889 5056.32716049
18 14 11 4104200.00000000 154 2772 26650.64935065 1480.59163059
18 9 17 4183900.00000000 153 2754 27345.75163399 1519.20842411
18 11 2 3015700.00000000 22 396 137077.27272727 7615.40404040
18 9 18 4206300.00000000 162 2916 25964.81481481 1442.48971193
18 8 15 4587500.00000000 120 2160 38229.16666667 2123.84259259
18 17 2 2982700.00000000 34 612 87726.47058824 4873.69281046
18 2 15 3017400.00000000 30 540 100580.00000000 5587.77777778
18 10 5 3021600.00000000 50 900 60432.00000000 3357.33333333
18 9 10 3883000.00000000 90 1620 43144.44444444 2396.91358025
19 17 18 4364700.00000000 306 5814 14263.72549020 750.72239422
19 4 10 2969600.00000000 40 760 74240.00000000 3907.36842105
19 16 2 2964500.00000000 32 608 92640.62500000 4875.82236842
19 17 3 3656000.00000000 51 969 71686.27450980 3772.96181631
19 2 11 3993200.00000000 22 418 181509.09090909 9553.11004785
19 17 10 3483900.00000000 170 3230 20493.52941176 1078.60681115
19 13 13 4114500.00000000 169 3211 24346.15384615 1281.37651822
19 14 7 6080500.00000000 98 1862 62045.91836735 3265.57465091
