n km kb millisegundos
37 6 29 5.00000000
37 18 25 6.90000000
37 19 4 4.50000000
37 25 24 9.00000000
37 28 17 7.40000000
37 1 16 3.90000000
37 2 2 3.70000000
37 17 23 6.80000000
37 14 20 5.60000000
37 23 17 6.80000000
38 4 34 4.60000000
38 5 12 3.80000000
38 6 10 3.50000000
38 35 24 9.80000000
38 10 10 4.10000000
38 8 20 4.80000000
38 8 36 6.40000000
38 18 21 6.80000000
38 26 14 7.10000000
38 23 3 4.20000000
39 19 11 5.50000000
39 16 5 4.10000000
39 17 3 4.00000000
39 11 9 4.40000000
39 17 8 4.70000000
39 6 19 4.30000000
39 29 33 12.70000000
39 22 36 10.40000000
39 3 14 3.80000000
39 33 35 15.40000000
40 8 27 5.30000000
40 5 6 3.70000000
40 31 19 9.20000000
40 29 1 4.00000000
40 20 38 9.50000000
40 27 18 7.60000000
40 35 25 11.60000000
40 14 40 8.60000000
40 37 26 11.90000000
40 33 8 5.70000000
41 2 36 4.50000000
41 17 2 3.80000000
41 9 28 5.70000000
41 28 38 12.70000000
41 6 17 4.40000000
41 19 21 6.90000000
41 29 26 9.70000000
41 38 6 5.80000000
41 34 41 15.60000000
41 27 30 10.80000000
42 30 13 7.70000000
42 28 1 4.00000000
42 29 21 8.80000000
42 18 11 4.60000000
42 33 11 6.70000000
42 25 23 8.90000000
42 29 9 5.70000000
42 14 17 5.60000000
42 16 5 4.20000000
42 32 23 9.70000000
43 35 34 14.60000000
43 43 29 15.80000000
43 28 24 9.30000000
43 43 36 17.20000000
43 6 31 5.10000000
43 1 17 3.50000000
43 19 27 8.50000000
43 41 3 5.00000000
43 35 8 6.10000000
43 17 23 6.30000000
44 12 7 4.50000000
44 9 36 6.30000000
44 37 20 10.40000000
44 5 21 4.50000000
44 39 21 11.90000000
44 40 7 6.80000000
44 17 43 9.50000000
44 44 19 11.00000000
44 12 15 4.90000000
44 13 20 5.80000000
45 27 35 12.40000000
45 29 20 9.60000000
45 25 7 5.00000000
45 43 31 15.40000000
